Gene1,Gene2,Score
CBFB,MSH6,2386.0
CBFB,CLTC,1778.0
CBFB,SLC2A3,1502.0
CBFB,NFE2,2138.0
CBFB,ARID5A,1700.0
CBFB,TMEM229B,1785.0
CBFB,TIMM29,1667.0
CBFB,IDH1,1540.0
CBFB,OTUD6B,1505.0
CBFB,WDR5,1641.0
CBFB,DOCK10,2185.0
CBFB,NOP2,1401.0
CBFB,NSUN2,1505.0
CBFB,CLPTM1L,1319.0
CBFB,HJURP,1422.0
CBFB,DNAJC11,1608.0
CBFB,SEH1L,1380.0
CBFB,DDX21,1598.0
CBFB,SZT2,1405.0
CBFB,TES,1896.0
CBFB,DNAJC10,1166.0
CBFB,SNRNP200,1979.0
CBFB,MTMR4,1144.0
CBFB,ACSS2,1070.0
CBFB,NUS1,1227.0
CBFB,F2R,1169.0
CBFB,GARS,1106.0
CBFB,NUF2,1801.0
CBFB,RANGAP1,1371.0
CBFB,ARL6IP6,1337.0
CBFB,ECT2,1159.0
CBFB,RPRD1B,2128.0
CBFB,IRF9,1298.0
CBFB,ARMT1,1221.0
CBFB,RCOR1,1087.0
CBFB,MGAT1,978.0
CBFB,DCAF13,1211.0
CBFB,SPNS2,1482.0
CBFB,OSBPL8,1051.0
CBFB,NFAT5,1118.0
CBFB,HSPA4,1116.0
CBFB,PPAT,1126.0
CBFB,CTPS,1345.0
CBFB,PRKCH,1078.0
CBFB,MORC3,1068.0
CBFB,PGLYRP2,1575.0
CBFB,ATAD2,1446.0
CBFB,TACC3,1328.0
CBFB,DDX20,1368.0
CBFB,ZFAND5,958.0
CBFB,EIF1AD,1821.0
CBFB,TFR2,1464.0
CBFB,LY9,1556.0
CBFB,MIS12,1022.0
CBFB,FAM76B,1047.0
CBFB,MIS18BP1,1481.0
CBFB,EPRS,1114.0
CBFB,NCEH1,1122.0
CBFB,CSTF2,1106.0
CBFB,HAT1,1030.0
CBFB,RABGGTB,883.0
CBFB,GMFB,1137.0
CBFB,POLE3,1723.0
CBFB,EYA2,1293.0
CBFB,PWP2,1314.0
CBFB,INCENP,1145.0
CBFB,BIRC5,1024.0
CBFB,DUS1L,1358.0
CBFB,LRRC59,1114.0
CBFB,RAD51AP1,1497.0
CBFB,REXO4,1500.0
CBFB,FIGNL1,981.0
CBFB,EIF2S1,1250.0
CBFB,POR,1404.0
CBFB,9430015G10RIK,1079.0
CBFB,COLGALT1,1178.0
CBFB,PHF5A,1148.0
CBFB,MED16,1263.0
CBFB,API5,1090.0
CBFB,SLBP,901.0
CBFB,FAR1,976.0
CBFB,MRPL20,1438.0
CBFB,1700017B05RIK,976.0
CBFB,PIK3R2,822.0
CBFB,GALNT6,1729.0
CBFB,XRCC6,928.0
CBFB,SERP1,1039.0
CBFB,GTF2H1,1221.0
CBFB,HDAC7,951.0
CBFB,SERPINB9,857.0
CBFB,HCFC1,773.0
CBFB,PTPRE,694.0
CBFB,AP1S2,989.0
CBFB,TNPO1,1106.0
CBFB,CSGALNACT2,1052.0
CBFB,PNO1,1169.0
CBFB,CIPC,1035.0
CBFB,CENPE,1089.0
CBFB,RPTOR,1042.0
CBFB,FEM1B,1103.0
CBFB,DHX33,1248.0
CBFB,NDC80,1081.0
CBFB,CKS2,826.0
CBFB,PPM1G,827.0
CBFB,POLD1,926.0
CBFB,CHORDC1,1069.0
CBFB,GNL3,745.0
CBFB,UBAC1,918.0
CBFB,LONP2,947.0
CBFB,RUVBL2,1197.0
CBFB,GYS1,1197.0
CBFB,TESPA1,1492.0
CBFB,CDC45,1004.0
CBFB,XPC,803.0
CBFB,MTMR6,1275.0
CBFB,ELF1,843.0
CBFB,CDCA5,1146.0
CBFB,YPEL3,1030.0
CBFB,ZDHHC6,1362.0
CBFB,CDK1,945.0
CBFB,KAT7,851.0
CBFB,ACSS1,1109.0
CBFB,TEX10,1118.0
CBFB,TAB1,1183.0
CBFB,RGS18,1237.0
CBFB,HMBS,779.0
CBFB,ZBTB20,1021.0
CBFB,SHISA5,921.0
CBFB,METAP1,811.0
CBFB,TOMM70A,1535.0
CBFB,TCP11L2,1006.0
CBFB,HDGF,949.0
CBFB,SUPV3L1,1213.0
CBFB,FGFR1OP,851.0
CBFB,NDUFS1,1577.0
CBFB,ELAC2,1091.0
CBFB,CKAP5,972.0
CBFB,PDE4B,1064.0
CBFB,ZHX1,1799.0
CBFB,IFRD2,911.0
CBFB,EZR,792.0
CBFB,ZFP24,754.0
CBFB,MCM7,1209.0
CBFB,ST8SIA4,866.0
CBFB,TMEM33,1094.0
CBFB,TOP3B,921.0
CBFB,ISG20,638.0
CBFB,KIF11,1030.0
CBFB,AURKA,1297.0
CBFB,PTDSS1,1004.0
CBFB,AHCYL1,917.0
CBFB,RAD21,630.0
CBFB,IPO9,675.0
CBFB,ATP8B4,719.0
CBFB,PRMT5,1142.0
CBFB,ADK,975.0
CBFB,MCM4,1102.0
CBFB,GPR65,1112.0
CBFB,ITGAL,844.0
CBFB,SRSF1,850.0
CBFB,MGAT5,731.0
CBFB,NOL9,885.0
CBFB,SRM,867.0
CBFB,DEK,707.0
CBFB,ARHGAP15,1121.0
CBFB,PRMT7,731.0
CBFB,CS,728.0
CBFB,NOLC1,1293.0
CBFB,HARS,1564.0
CBFB,FASTKD2,1275.0
CBFB,THADA,1009.0
CBFB,PSME3,1825.0
CBFB,MOGS,538.0
CBFB,NARS,1046.0
CBFB,CDCA3,1062.0
CBFB,CTR9,1045.0
CBFB,SLC31A1,672.0
CBFB,MARS,976.0
CBFB,TFRC,673.0
CBFB,HASPIN,936.0
CBFB,PTCD3,1126.0
CBFB,FAM102B,935.0
CBFB,SLA2,1062.0
CBFB,STIP1,851.0
CBFB,NUDCD1,861.0
CBFB,PSMD1,1077.0
CBFB,RFC4,730.0
CBFB,CUL3,717.0
CBFB,CDCA8,1054.0
CBFB,NCAPH,673.0
CBFB,EFTUD2,887.0
CBFB,ZFP422,954.0
CBFB,CEP55,661.0
CBFB,UBR7,901.0
CBFB,CDCA4,766.0
CBFB,DHRS3,698.0
CBFB,MDN1,908.0
CBFB,ELOVL5,696.0
CBFB,MEMO1,711.0
CBFB,MPZL1,755.0
CBFB,VKORC1L1,750.0
CBFB,STAT2,648.0
CBFB,DUSP1,581.0
CBFB,TBL3,837.0
CBFB,OTULINL,847.0
CBFB,SPTBN1,811.0
CBFB,ITSN1,727.0
CBFB,GLRX5,709.0
CBFB,CENPO,844.0
CBFB,SATB1,904.0
CBFB,NDC1,1136.0
CBFB,HACD3,1012.0
CBFB,ABL2,794.0
CBFB,UAP1,808.0
CBFB,SHMT1,1026.0
CBFB,FAM136A,801.0
CBFB,EIF2B1,863.0
CBFB,SPNS3,570.0
CBFB,MIEF1,1212.0
CBFB,MTREX,905.0
CBFB,GLB1,671.0
CBFB,DUT,909.0
CBFB,DOK2,844.0
CBFB,TMEM43,727.0
CBFB,PRODH,683.0
CBFB,CCNE2,1470.0
CBFB,PLD3,791.0
CBFB,NECAP2,972.0
CBFB,JPT1,711.0
CBFB,PLIN3,553.0
CBFB,CTC1,607.0
CBFB,FARSB,1049.0
CBFB,SF3B3,982.0
CBFB,GBP3,886.0
CBFB,NFKBIA,555.0
CBFB,PDIA4,658.0
CBFB,DENND1C,863.0
CBFB,SARAF,805.0
CBFB,KPNA3,679.0
CBFB,CBX5,703.0
CBFB,NDUFV1,847.0
CBFB,RRM1,796.0
CBFB,KCTD12,652.0
CBFB,USP37,1327.0
CBFB,BCL2,678.0
CBFB,SLC35A4,1077.0
CBFB,ABCB8,572.0
CBFB,H2AFX,696.0
CBFB,FBXW11,777.0
CBFB,AKAP8L,683.0
CBFB,NCAPD2,668.0
CBFB,EAF1,843.0
CBFB,NUBP2,933.0
CBFB,RNF38,711.0
CBFB,D1ERTD622E,765.0
CBFB,FOXRED1,743.0
CBFB,CKS1B,981.0
CBFB,GPRASP1,978.0
CBFB,DEF8,914.0
CBFB,PSMD9,841.0
CBFB,SETD2,701.0
CBFB,RARS,794.0
CBFB,HDAC2,960.0
CBFB,UBASH3A,815.0
CBFB,BYSL,806.0
CBFB,PPP1CB,509.0
CBFB,EIF3B,872.0
CBFB,TIMM50,745.0
