Gene1,Gene2
E2F4,MYCN
E2F4,RAD51
E2F4,RB1
EGR1,BIRC5
EGR1,CDKN1C
EGR1,ICAM1
EGR1,JUN
EGR1,LTB
EGR1,NDRG1
EGR1,TK1
EGR1,IL12A
ELF1,CSF1R
ELF1,DNTT
ELF1,FCER1G
EPAS1,ABCG2
EYA2,MTOR
FOXO1,CCR2
FOXO1,CDKN1A
FOXO1,EGR1
FOXO1,IKZF1
FOXO1,PIK3R1
FOXO1,SELL
FOXO1,TRIB3
GATA2,SPI1
GFI1B,MEIS1
HCFC1,RB1
HDAC2,CDKN1A
HDAC2,NFKBIA
IKZF1,MYC
IRF8,ABL1
IRF8,IL12A
IRF8,SPI1
IRF9,IRF7
JUN,CSF1R
JUN,GCLC
JUN,ICAM1
JUN,KRT18
JUN,ODC1
JUN,RELB
JUN,SPI1
KLF6,CDKN1A
MAPK1,EGR1
MEIS1,FLT3
MYB,CDKN1A
MYB,CSF1R
MYB,CSF3R
MYB,MYC
MYB,PRTN3
MYC,BCL2
MYC,CAD
MYC,CCNB1
MYC,CDCA7
MYC,CDKN1A
MYC,HDAC2
MYC,NDRG1
MYC,NFIA
MYC,ODC1
MYC,ZFP36
MYCN,HDAC2
MYCN,NDRG1
MYCN,PTDSS1
NDN,CDK1
NDN,MYC
NFAT5,BCL2
NFATC2,BACE1
NFATC2,CCNA2
NFE2,HMBS
NFE2,TYMS
NR3C2,MLLT3
NR3C2,TSC22D3
NUPR1,CCNA2
NUPR1,TCF19
PLAG1,EGR1
RARB,JUN
RB1,BIRC5
RB1,CDKN1A
RB1,ELF1
RB1,JUN
RB1,SPI1
REL,IL12A
REL,MYC
REL,RORC
RELB,MYB
RELB,MYC
RUNX1T1,BCL2
SALL2,CDKN1A
SATB1,BCL2
SATB1,SPI1
SLA2,CSF1R
SMARCA2,CCNA2
SMARCA2,CD44
SPI1,CSF1R
SPI1,ELANE
SPI1,ELF1
SPI1,FCER1G
SPI1,FES
SPI1,FLT3
SPI1,IGHM
SPI1,IRF8
SPI1,NCF1
SPI1,TEC
SPI1,TLR4
STAT2,IRF7
YBX1,SLC2A3
ZBTB16,CDKN1A
ABL1,CISH
ABL1,MYC
ABL1,RB1
BTG2,ZFP36
CBFB,TIE1
CENPK,AURKB
CENPK,BIRC5
CENPK,BUB1B
CENPK,CCNA2
CENPK,CCNB1
CENPK,CDC20
CENPK,CDCA5
CENPK,CENPA
CENPK,CENPE
CENPK,CENPL
CENPK,CENPO
CENPK,CEP55
CENPK,CKAP2L
CENPK,KIF11
CENPK,MIS12
CENPK,MIS18BP1
CENPK,NCAPG
CENPK,NCAPG2
CENPK,NDC80
CENPK,NDE1
CENPK,NUP107
CENPK,NUP85
CENPK,NUSAP1
CENPK,PBK
CENPK,PRIM1
CENPK,RANGAP1
CENPK,SEH1L
CENPK,SHCBP1
CENPK,SPC24
CENPK,SPC25
CENPK,TPX2
CREB5,BCL2
CTR9,ELP2
CTR9,RUVBL2
DDX20,GEMIN5
DDX20,HDAC2
DDX20,NUP107
DDX20,NUP85
DDX20,NUP88
DDX20,PRMT5
DDX20,SEH1L
DDX20,SNRPB
DDX20,STRAP
E2F4,CCNA2
E2F4,CDK1
E2F4,CDKN1A
E2F4,DHFR
E2F4,MYC
E2F4,NDN
E2F4,TOP2A
EGR1,9530082P21RIK
EGR1,AHCYL1
EGR1,APBB1
EGR1,APLP2
EGR1,ARID3B
EGR1,CBX5
EGR1,CLTC
EGR1,COL4A2
EGR1,CTSL
EGR1,D1ERTD622E
EGR1,FLT3
EGR1,H2-DMA
EGR1,HCFC1
EGR1,HNRNPAB
EGR1,HSPA1A
EGR1,HSPH1
EGR1,KLF6
EGR1,LMAN2L
EGR1,MAPK12
EGR1,MECOM
EGR1,MEIS1
EGR1,MIS12
EGR1,MYC
EGR1,NFE2
EGR1,OTUD4
EGR1,PIK3R1
EGR1,PNCK
EGR1,REL
EGR1,REXO2
EGR1,SESN1
EGR1,SLC25A38
EGR1,SLC37A1
EGR1,SOCS2
EGR1,STAG2
EGR1,TRP53I11
EGR1,USP11
EGR1,ZC3H7A
EPAS1,TEK
ERCC8,DCAF13
ERCC8,NFE2
ERCC8,POLD1
ERCC8,POLR2B
ERCC8,XPC
FOXO1,ANKRD44
FOXO1,CD44
FOXO1,CREB5
FOXO1,CSF1R
FOXO1,CTSL
FOXO1,FOXRED1
FOXO1,GFI1B
FOXO1,H2-DMA
FOXO1,LMO4
FOXO1,MIR17HG
FOXO1,MTOR
FOXO1,ORC2
FOXO1,PITPNC1
FOXO1,RUNX1T1
FOXO1,SESN1
FOXO1,SORL1
FOXO1,STT3A
FOXO1,SZT2
FOXO1,TCP11L2
FOXO1,TRP53I11
FOXO1,ZBTB16
GATA2,ALDH18A1
GATA2,CDK6
GATA2,CENPL
GATA2,DNAJC9
GATA2,DUSP1
GATA2,FCGR2B
GATA2,HDAC7
GATA2,HLF
GATA2,JUN
GATA2,NADK
GATA2,OSGIN1
GATA2,RARB
GATA2,RNF122
GATA2,RUNX1T1
GATA2,SNRNP200
GATA2,TCP11L2
GATA2,TEK
GATA2,ZBTB16
GFI1B,HDAC2
GFI1B,RCOR1
GTF2F1,CSTF2
GTF2F1,EFTUD2
GTF2F1,POLR2B
GTF2F1,PRPF4
GTF2F1,SF3B3
GTF2F1,SNRNP200
GTF2F1,SRSF1
GTF2H1,NFE2
H1F0,CDK1
HCFC1,CDK1
HCFC1,NDN
HDAC11,CBX5
HDAC11,CDT1
HDAC11,H2AFX
HDAC11,HDAC2
HDAC11,HDAC7
HDAC2,CBX5
HDAC2,DDX20
HDAC2,GFI1B
HDAC2,H2AFX
HDAC2,HDAC11
HDAC2,HDAC7
HDAC2,IKZF1
HDAC2,MECOM
HDAC2,RB1
HDAC2,SMARCA2
HDAC7,CBX5
HDAC7,H2AFX
HDAC7,HDAC11
HDAC7,HDAC2
HDAC7,MAML3
HLF,GATA2
HMGB2,AURKA
HMGB2,BIRC5
HMGB2,BUB1B
HMGB2,CCNA2
HMGB2,CCNB1
HMGB2,CCNB2
HMGB2,CDC20
HMGB2,CDCA5
HMGB2,CDK1
HMGB2,CDT1
HMGB2,CKS2
HMGB2,KIF22
HMGB2,MCM2
HMGB2,MCM3
HMGB2,MCM4
HMGB2,MCM6
HMGB2,MCM7
HMGB2,MKI67
HMGB2,NCAPG
HMGB2,PBK
HMGB2,PRIM1
HMGB2,RACGAP1
HMGB2,RRM2
HMGB2,SHCBP1
HMGB2,TIPIN
HMGB2,TOP2A
HMGB2,UBE2C
HMGB2,UHRF1
IKZF1,BCL2
IKZF1,DENND2D
IKZF1,EGR1
IKZF1,EZR
IKZF1,GANAB
IKZF1,HDAC2
IKZF1,IFRD2
IKZF1,MPZL1
IKZF1,NCAPD2
IKZF1,NDRG1
IKZF1,RASSF4
IKZF1,SMARCA2
IKZF1,STIP1
IRF6,CD44
IRF6,FDFT1
IRF6,H2-AA
IRF6,ICAM1
IRF6,IRF7
IRF6,IRF8
IRF6,IRF9
IRF6,OAS3
IRF7,CD44
IRF7,DDX60
IRF7,GBP3
IRF7,H2-AA
IRF7,ICAM1
IRF7,IFI44
IRF7,IGTP
IRF7,IIGP1
IRF7,IRF6
IRF7,IRF8
IRF7,IRF9
IRF7,OAS3
IRF7,OASL2
IRF7,RTP4
IRF7,UBA7
IRF7,XAF1
IRF8,CD44
IRF8,H2-AA
IRF8,ICAM1
IRF8,IRF6
IRF8,IRF7
IRF8,IRF9
IRF8,LY86
IRF8,OAS3
IRF9,CD44
IRF9,H2-AA
IRF9,ICAM1
IRF9,IGTP
IRF9,IRF6
IRF9,IRF8
IRF9,OAS3
IRF9,OASL2
IRF9,RTP4
IRF9,STAT2
JARID2,MORC3
JARID2,RB1
JARID2,TRIM35
JUN,9530068E07RIK
JUN,ADK
JUN,ANXA3
JUN,ATP10A
JUN,BTG2
JUN,BTK
JUN,CAMK2D
JUN,CCL4
JUN,CCNA2
JUN,CERK
JUN,CTSL
JUN,EBF1
JUN,EFTUD2
JUN,EGR1
JUN,EMILIN1
JUN,FGL2
JUN,GATA2
JUN,GOLPH3
JUN,GTF2F1
JUN,H2-DMA
JUN,HCFC1
JUN,IL12A
JUN,IRF6
JUN,ITCH
JUN,KIF17
JUN,LSP1
JUN,LY9
JUN,MAPK1
JUN,MAPK12
JUN,MFNG
JUN,MTCH2
JUN,MYB
JUN,NAP1L3
JUN,NDUFA10
JUN,NEDD1
JUN,OBSCN
JUN,PIM2
JUN,PPP1R15A
