Gene1,Gene2
MCM6,CDC45
MCM3,CDC45
ORC2,CDC45
MCM5,CDC45
MCM4,CDC45
MCM2,CDC45
MCM7,CDC45
RAD51,CDC45
KLF6,JUN
JUN,KLF6
KLF6,BTG2
BTG2,KLF6
MCM7,BUB1B
MCM7,SMC2
MCM7,NASP
MCM7,CDC7
MCM7,NCAPH
MCM7,RACGAP1
MCM7,CDT1
MCM7,INCENP
MCM7,NUF2
MCM7,POLE3
MCM7,RPA2
MCM7,POLD1
MCM7,HELLS
MCM7,ASF1B
MCM7,CCNA2
MCM7,PRC1
MCM7,ORC6
MCM7,CDCA8
MCM7,CCNB2
MCM7,AURKA
MCM7,CDC20
MCM7,UHRF1
MCM7,PRIM2
MCM7,MCM5
MCM5,MCM7
MCM7,MKI67
MCM7,GMNN
MCM7,DUT
MCM7,BIRC5
MCM7,POLR2B
POLR2B,MCM7
MCM7,CDCA5
MCM7,MCM10
MCM7,CDCA7
MCM7,NCAPG2
MCM7,PBK
MCM7,HAT1
MCM7,DNAJC9
MCM7,RFC5
MCM7,POLA2
MCM7,RAD51
RAD51,MCM7
MCM7,SLBP
MCM7,NDC80
MCM7,WDHD1
MCM7,TIPIN
MCM7,BUB1
MCM7,LIG1
MCM7,NCAPG
MCM7,NCAPD2
MCM7,RPA1
MCM7,MCM2
MCM2,MCM7
MCM7,MAD2L1
MCM7,KIF20B
MCM7,CDK1
MCM7,RFC4
MCM7,H2AFX
MCM7,MCM4
MCM4,MCM7
MCM7,CCNB1
MCM7,RRM2
MCM7,KIF11
MCM7,TYMS
MCM7,POLE
MCM7,MSH6
MCM7,TOP2A
MCM7,CDC6
MCM7,AURKB
MCM7,PRIM1
MCM7,ORC2
ORC2,MCM7
MCM7,MCM3
MCM3,MCM7
MCM7,RRM1
MCM7,MCM6
MCM6,MCM7
XRCC3,RPA1
RAD51,RPA1
POLR2B,RPA1
MCM5,RPA1
XRCC6,RPA1
ERCC8,RPA1
GTF2H1,RPA1
MCM6,RPA1
MCM3,RPA1
ORC2,RPA1
MCM4,RPA1
MCM2,RPA1
MCM6,UHRF1
MCM3,UHRF1
MCM5,UHRF1
MCM4,UHRF1
MCM2,UHRF1
RAD51,UHRF1
TCF19,UHRF1
SPI1,TYROBP
SPI1,CSF2RB
SPI1,GATA2
GATA2,SPI1
SPI1,MPO
SPI1,EBF1
EBF1,SPI1
SPI1,PLEK
SPI1,FLT3
SPI1,IKZF1
IKZF1,SPI1
SPI1,TLR4
TLR4,SPI1
SPI1,LCP2
SPI1,CSF1R
SPI1,CD53
SPI1,MYB
MYB,SPI1
SPI1,JUN
JUN,SPI1
SPI1,IRF8
IRF8,SPI1
SPI1,RUNX1T1
RUNX1T1,SPI1
SPI1,RGS18
SPI1,CSF3R
GTF2F1,RPRD1B
GTF2F1,POLR2B
POLR2B,GTF2F1
GTF2F1,CTR9
CTR9,GTF2F1
GTF2F1,SNRPB
SNRPB,GTF2F1
GTF2F1,TAF12
TAF12,GTF2F1
GTF2F1,YBX1
YBX1,GTF2F1
GTF2F1,GTF2H1
GTF2H1,GTF2F1
GTF2F1,PHF5A
GTF2F1,EAF1
GTF2F1,CSTF2
GTF2F1,INTS8
GTF2F1,MLLT3
MLLT3,GTF2F1
GTF2F1,SNRNP200
GTF2F1,EFTUD2
GTF2F1,PRPF4
GTF2F1,SF3B3
RORC,IL17RA
PLAG1,NCAPG
PHB2,TOMM40
PHB2,EIF3B
PHB2,MICU1
PHB2,CYC1
MYC,CD44
JUN,CD44
TLR4,CD44
MYCN,NDRG1
MCM6,MSH6
MCM3,MSH6
MCM4,MSH6
MCM2,MSH6
XRCC3,MSH6
RAD51,MSH6
MCM5,MSH6
XRCC6,MSH6
ERCC8,MSH6
XPC,MSH6
MCM6,ASF1B
MCM3,ASF1B
MCM4,ASF1B
MCM2,ASF1B
RAD51,ASF1B
MCM5,ASF1B
