Gene1,Gene2
AR,RGPD2
BCL11A,RGPD2
BCL11A,HESX1
CTNNB1,RGPD2
CTNNB1,CER1
CTNNB1,MCC
CTNNB1,AK4
CTNNB1,TLE3
CTNNB1,DKK1
CTNNB1,CXXC1
CTNNB1,SFRP2
CTNNB1,PRICKLE1
CTNNB1,DCLK1
CTNNB1,ETV4
CTNNB1,OTX2
CTNNB1,DKK4
CTNNB1,NEDD9
CTNNB1,TNC
CTNNB1,DUSP4
CTNNB1,WLS
CTNNB1,CYP1B1
CTNNB1,HESX1
CTNNB1,UNC5D
CTNNB1,ASXL1
CTNNB1,ETV1
CTNNB1,ZNF202
CTNNB1,NUP54
CTNNB1,USP44
CTNNB1,RXRG
CTNNB1,ENC1
CTNNB1,PHLDB2
CTNNB1,RGS5
CTNNB1,ETV3
CTNNB1,SMAD2
CTNNB1,KLHL4
CTNNB1,PRDM14
CTNNB1,CRABP2
CTNNB1,VPS13C
CTNNB1,WWTR1
CTNNB1,BTBD10
CTNNB1,COL4A1
CTNNB1,PAM
CTNNB1,NCAM1
CTNNB1,RBPJ
CTNNB1,LPIN1
CTNNB1,LIN28A
CTNNB1,TNFRSF11B
CTNNB1,GPR83
CTNNB1,CD200
CTNNB1,CYP26A1
CTNNB1,BAMBI
CTNNB1,RHOBTB3
CTNNB1,PMAIP1
CTNNB1,PBX1
CTNNB1,PALLD
CTNNB1,PRDM1
CTNNB1,PLAGL1
CTNNB1,CENPK
CTNNB1,PITX2
CTNNB1,FBXO28
CTNNB1,FOXN3
CTNNB1,SAMD3
CTNNB1,HOMER1
CTNNB1,EPCAM
CTNNB1,TCF4
CTNNB1,MATN3
CTNNB1,FOXP1
CTNNB1,DCAF6
CTNNB1,SH3BGRL2
CTNNB1,ZNF142
CTNNB1,ANXA3
CTNNB1,SEMA3E
CTNNB1,POU2F1
CTNNB1,MRPL1
CTNNB1,TTC27
CTNNB1,E2F7
CTNNB1,NCAPG
CTNNB1,HMGA1
CTNNB1,PHB2
CTNNB1,SKA3
CTNNB1,ABCA1
CTNNB1,SNAI2
CTNNB1,GATA4
CTNNB1,ASNS
CTNNB1,SNRPB
CTNNB1,MIA3
DNMT3B,CBX3
DNMT3B,MAFG
DNMT3B,OXTR
EGR1,U2AF1
EGR1,WDHD1
EGR1,NOL11
EGR1,SIRT1
EGR1,PDCD11
EGR1,KAT7
EGR1,TMEM131
EGR1,ARID4B
EGR1,KDELR3
EGR1,POLR1C
EGR1,ZNF764
EGR1,AFF4
EGR1,DNAJC2
EGR1,PTGR1
EGR1,DCAF6
EGR1,CREB3L2
EGR1,EEF1A1
EGR1,KIF15
