Gene1,Gene2
NFE2L3,MAFF
MAFF,NFE2L3
NFE2L3,MAFG
MAFG,NFE2L3
NFE2L3,HCFC1
HCFC1,NFE2L3
TRIP13,NDC80
TRIP13,DTL
TRIP13,CDCA8
TRIP13,RAD51
RAD51,TRIP13
TRIP13,NCAPG
TRIP13,DLGAP5
TRIP13,CDC20
TRIP13,NUSAP1
TRIP13,CCNA2
TRIP13,EXO1
TRIP13,CCNB2
TRIP13,BUB1B
TRIP13,CDC7
TRIP13,TTK
TRIP13,KIF23
TRIP13,MCM2
MCM2,TRIP13
TRIP13,RAD51AP1
TRIP13,PLK1
TRIP13,CEP55
TRIP13,GINS2
TRIP13,MCM4
MCM4,TRIP13
TRIP13,RFC3
UBTF,RRN3
POLR1B,RRN3
POLR1A,RRN3
GTF2H2,RRN3
POLR2H,RRN3
POLR2F,RRN3
POLR2K,RRN3
POLR1C,RRN3
TRIP6,NR3C1
NR3C1,TRIP6
TRIP6,SRC
SRC,TRIP6
TRIP6,NEDD9
SIRT1,XRCC5
XRCC5,SIRT1
SIRT1,MEF2D
MEF2D,SIRT1
SIRT1,RBBP4
RBBP4,SIRT1
SIRT1,DNMT3B
DNMT3B,SIRT1
SIRT1,CTNNB1
CTNNB1,SIRT1
SIRT1,APEX1
APEX1,SIRT1
SIRT1,MYCN
MYCN,SIRT1
SIRT1,POLR2G
POLR2G,SIRT1
SIRT1,XRCC6
XRCC6,SIRT1
SIRT1,TP53
TP53,SIRT1
SIRT1,PARP1
PARP1,SIRT1
SIRT1,PPARA
PPARA,SIRT1
SIRT1,GATAD2A
GATAD2A,SIRT1
SIRT1,EHMT2
EHMT2,SIRT1
SIRT1,CHEK2
SIRT1,STAT3
STAT3,SIRT1
SIRT1,DNMT1
DNMT1,SIRT1
SIRT1,CDK6
SIRT1,HDAC9
HDAC9,SIRT1
SIRT1,AR
AR,SIRT1
SIRT1,ZEB1
ZEB1,SIRT1
SIRT1,EZH2
EZH2,SIRT1
SIRT1,HIF1A
HIF1A,SIRT1
SIRT1,HCFC1
HCFC1,SIRT1
TGFB1,TGFBR3
MIF,TP53
TP53,MIF
MCM5,CCNE2
MCM5,MCM6
MCM6,MCM5
MCM5,NDC80
MCM5,DTL
MCM5,WDHD1
MCM5,CDCA8
MCM5,RAD51
RAD51,MCM5
MCM5,NCAPG
MCM5,CDC20
MCM5,CCNA2
MCM5,ESCO2
MCM5,EXO1
MCM5,CCNB2
MCM5,BUB1B
MCM5,DSCC1
MCM5,CDC7
MCM5,MCM7
MCM7,MCM5
MCM5,TTK
MCM5,KIF23
MCM5,MCM2
MCM2,MCM5
MCM5,PLK1
MCM5,TIPIN
MCM5,CHEK2
MCM5,GINS2
MCM5,CHAF1A
CHAF1A,MCM5
MCM5,DNMT1
DNMT1,MCM5
MCM5,PRIM1
MCM5,ESPL1
ESPL1,MCM5
MCM5,MCM3
MCM3,MCM5
MCM5,MCM4
MCM4,MCM5
MCM5,UHRF1
UHRF1,MCM5
MCM5,RFC3
SUPT16H,POLR2G
POLR2G,SUPT16H
SUPT16H,XRCC6
XRCC6,SUPT16H
SUPT16H,AFF4
AFF4,SUPT16H
SUPT16H,TP53
TP53,SUPT16H
SUPT16H,MLLT3
MLLT3,SUPT16H
SUPT16H,POLR2D
POLR2D,SUPT16H
SUPT16H,GTF2H2
GTF2H2,SUPT16H
SUPT16H,WDHD1
SUPT16H,SMARCC1
SMARCC1,SUPT16H
SUPT16H,POLR2H
POLR2H,SUPT16H
SUPT16H,SMARCD1
SMARCD1,SUPT16H
SUPT16H,RUVBL1
RUVBL1,SUPT16H
SUPT16H,POLR2I
POLR2I,SUPT16H
SUPT16H,CHAF1A
CHAF1A,SUPT16H
SUPT16H,POLR2F
POLR2F,SUPT16H
SUPT16H,POLR2K
POLR2K,SUPT16H
SUPT16H,MCM3
MCM3,SUPT16H
SUPT16H,MCM4
MCM4,SUPT16H
SUPT16H,TCEA1
TCEA1,SUPT16H
SUPT16H,POLR2A
POLR2A,SUPT16H
SOS2,RRAS2
APEX1,YBX1
YBX1,APEX1
APEX1,XRCC5
XRCC5,APEX1
APEX1,EXO1
APEX1,XRCC6
XRCC6,APEX1
APEX1,TP53
TP53,APEX1
APEX1,PARP1
PARP1,APEX1
APEX1,ILF2
ILF2,APEX1
APEX1,POLB
APEX1,DECR1
APEX1,NPM1
NPM1,APEX1
APEX1,HIF1A
HIF1A,APEX1
APEX1,RFC3
NFKBIA,SRC
SRC,NFKBIA
NFKBIA,TRAF6
TRAF6,NFKBIA
NFKBIA,NFKBIB
NFKBIB,NFKBIA
NFKBIA,KLF6
KLF6,NFKBIA
NFKBIA,REL
REL,NFKBIA
NFKBIA,TP53
TP53,NFKBIA
NFKBIA,PSMD9
PSMD9,NFKBIA
NFKBIA,MALT1
NFKBIA,TDP2
NFKBIA,CUL1
NFKBIA,PPARA
PPARA,NFKBIA
NFKBIA,PRKACB
NFKBIA,TRIM25
TRIM25,NFKBIA
NFKBIA,PAWR
PAWR,NFKBIA
MYBL2,CDCA8
MYBL2,NCAPG
MYBL2,RBBP4
RBBP4,MYBL2
MYBL2,CDC20
MYBL2,CCNA2
MYBL2,CCNB2
MYBL2,BUB1B
MYBL2,E2F4
E2F4,MYBL2
MYBL2,TFDP1
TFDP1,MYBL2
MYBL2,PLK1
MYBL2,CCND1
CCND1,MYBL2
MYBL2,E2F3
E2F3,MYBL2
MYBL2,TFAP2A
TFAP2A,MYBL2
MYBL2,ESPL1
ESPL1,MYBL2
MYBL2,NPM1
NPM1,MYBL2
TLR4,DECR1
STAT3,DECR1
CCND1,SFRP1
CTNNB1,SFRP1
AES,TLE1
TLE1,AES
AES,TLE3
TLE3,AES
AES,TLE2
TLE2,AES
AES,HLX
HLX,AES
AES,LEF1
LEF1,AES
AES,RIPPLY1
AES,CTNNB1
CTNNB1,AES
AES,CTBP1
CTBP1,AES
POLR2I,SNAPC3
SNAPC3,POLR2I
POLR2I,MEIS1
MEIS1,POLR2I
POLR2I,RARG
RARG,POLR2I
POLR2I,YBX1
YBX1,POLR2I
POLR2I,POLR2G
POLR2G,POLR2I
POLR2I,POLR1B
POLR1B,POLR2I
POLR2I,SRSF3
SRSF3,POLR2I
POLR2I,POU2F1
POU2F1,POLR2I
POLR2I,WDR5
WDR5,POLR2I
POLR2I,AFF4
AFF4,POLR2I
POLR2I,RNPS1
RNPS1,POLR2I
POLR2I,HOXB3
HOXB3,POLR2I
POLR2I,ESRP1
POLR2I,HNRNPK
HNRNPK,POLR2I
POLR2I,MLLT3
MLLT3,POLR2I
POLR2I,HNRNPD
HNRNPD,POLR2I
POLR2I,POLR2D
POLR2D,POLR2I
POLR2I,NANOG
NANOG,POLR2I
POLR2I,GTF2H2
GTF2H2,POLR2I
POLR2I,PBX1
PBX1,POLR2I
POLR2I,TAF1L
TAF1L,POLR2I
POLR2I,MED14
MED14,POLR2I
POLR2I,ALYREF
ALYREF,POLR2I
POLR2I,SF1
SF1,POLR2I
POLR2I,KDM6A
POLR2I,ASH2L
ASH2L,POLR2I
POLR2I,ELAVL2
ELAVL2,POLR2I
POLR2I,POLR2H
POLR2H,POLR2I
POLR2I,SRSF10
SRSF10,POLR2I
POLR2I,SNRPB
SNRPB,POLR2I
POLR2I,SOX2
SOX2,POLR2I
POLR2I,RBBP4
RBBP4,POLR2I
POLR2I,SRSF2
SRSF2,POLR2I
POLR2I,HOXB4
HOXB4,POLR2I
POLR2I,POLR2F
POLR2F,POLR2I
POLR2I,POLR2K
POLR2K,POLR2I
POLR2I,HOXB2
HOXB2,POLR2I
POLR2I,ELL2
ELL2,POLR2I
POLR2I,FUS
FUS,POLR2I
POLR2I,POLR1C
POLR1C,POLR2I
POLR2I,NCOA6
NCOA6,POLR2I
POLR2I,POU2F2
POU2F2,POLR2I
POLR2I,SNRPD1
SNRPD1,POLR2I
POLR2I,RBFOX2
RBFOX2,POLR2I
POLR2I,TCEA1
TCEA1,POLR2I
POLR2I,EZH2
EZH2,POLR2I
POLR2I,RBMX
RBMX,POLR2I
POLR2I,RFC3
POLR2I,SRSF6
SRSF6,POLR2I
POLR2I,SRSF1
SRSF1,POLR2I
POLR2I,SNAPC4
SNAPC4,POLR2I
POLR2I,POLR2A
POLR2A,POLR2I
TGFB1,ZFHX3
ZFHX3,TGFB1
TGFB1,WWP1
WWP1,TGFB1
TGFB1,DAXX
DAXX,TGFB1
TGFB1,SMAD2
SMAD2,TGFB1
TGFB1,BAMBI
TGFB1,SMAD6
SMAD6,TGFB1
TGFB1,CTNNB1
CTNNB1,TGFB1
TGFB1,VIM
TGFB1,FN1
TGFB1,ZFYVE16
TGFB1,LUM
TGFB1,DAB2
DAB2,TGFB1
TGFB1,EGF
EGF,TGFB1
TGFB1,FBN1
TGFB1,STAT3
STAT3,TGFB1
TGFB1,SMAD5
SMAD5,TGFB1
TGFB1,LTBP1
CRX,RAX2
RAX2,CRX
CRABP2,CYP26A1
POLR1B,UTP18
PA2G4,UTP18
POLR1A,UTP18
PDCD11,UTP18
DDX54,UTP18
CEBPZ,UTP18
MYBBP1A,UTP18
CCND1,APC
APC,CCND1
CCND1,YBX1
YBX1,CCND1
CCND1,SRC
SRC,CCND1
CCND1,POU2F1
POU2F1,CCND1
CCND1,RUNX1
RUNX1,CCND1
CCND1,GATA3
GATA3,CCND1
CCND1,SMARCD3
SMARCD3,CCND1
CCND1,MAML3
MAML3,CCND1
CCND1,MAMLD1
CCND1,CCNA2
CCND1,WNT5A
CCND1,CTNNB1
CTNNB1,CCND1
CCND1,EGR1
EGR1,CCND1
CCND1,E2F4
E2F4,CCND1
CCND1,CTBP1
CTBP1,CCND1
CCND1,MCM7
MCM7,CCND1
CCND1,BTG2
BTG2,CCND1
CCND1,ID1
ID1,CCND1
CCND1,TP53
TP53,CCND1
CCND1,TLE1
TLE1,CCND1
CCND1,TFDP1
TFDP1,CCND1
CCND1,PSMD9
PSMD9,CCND1
CCND1,CUL1
CCND1,SMARCC1
SMARCC1,CCND1
CCND1,EGF
EGF,CCND1
CCND1,POU5F1
POU5F1,CCND1
CCND1,SMARCD1
SMARCD1,CCND1
CCND1,E2F3
E2F3,CCND1
CCND1,SOX2
SOX2,CCND1
CCND1,LEF1
LEF1,CCND1
CCND1,DNMT3A
DNMT3A,CCND1
CCND1,CHEK2
CCND1,STAT3
STAT3,CCND1
CCND1,CDK6
CCND1,PGR
PGR,CCND1
CCND1,AR
AR,CCND1
CCND1,SNAI2
SNAI2,CCND1
CCND1,EZH2
EZH2,CCND1
CCND1,RBPJ
RBPJ,CCND1
MCM6,RAD51AP1
MCM2,RAD51AP1
RAD51,RAD51AP1
NANOG,ZIC3
ZIC3,NANOG
NANOG,FOXD3
FOXD3,NANOG
NANOG,KDR
NANOG,SNAI1
SNAI1,NANOG
NANOG,SMAD2
SMAD2,NANOG
NANOG,PBX1
PBX1,NANOG
NANOG,THY1
NANOG,POLR2H
POLR2H,NANOG
NANOG,OTX2
OTX2,NANOG
NANOG,SOX3
SOX3,NANOG
NANOG,PROM1
NANOG,TBX3
TBX3,NANOG
NANOG,NR0B1
NR0B1,NANOG
NANOG,DNMT3B
DNMT3B,NANOG
NANOG,CTNNB1
CTNNB1,NANOG
NANOG,GATA4
GATA4,NANOG
NANOG,POLR2G
POLR2G,NANOG
NANOG,ZFP42
ZFP42,NANOG
NANOG,BMP4
BMP4,NANOG
NANOG,TP53
TP53,NANOG
NANOG,GATA6
GATA6,NANOG
NANOG,POLR2D
POLR2D,NANOG
NANOG,POU5F1
POU5F1,NANOG
NANOG,LIN28A
LIN28A,NANOG
NANOG,KLF5
KLF5,NANOG
NANOG,SOX17
SOX17,NANOG
NANOG,SOX2
SOX2,NANOG
NANOG,TCF4
TCF4,NANOG
NANOG,EOMES
EOMES,NANOG
NANOG,POLR2F
POLR2F,NANOG
NANOG,STAT3
STAT3,NANOG
NANOG,DNMT1
DNMT1,NANOG
NANOG,POLR2K
POLR2K,NANOG
NANOG,SNAI2
SNAI2,NANOG
NANOG,PRDM14
PRDM14,NANOG
NANOG,POLR2A
POLR2A,NANOG
TFDP1,FBXO5
PSMD9,FBXO5
ISL1,TBX20
TBX20,ISL1
ISL1,OTX2
OTX2,ISL1
ISL1,GATA4
GATA4,ISL1
ISL1,SHOX2
SHOX2,ISL1
ISL1,GATA6
GATA6,ISL1
ISL1,SOX2
SOX2,ISL1
HAND1,HAND2
HAND2,HAND1
HAND1,NFATC1
NFATC1,HAND1
NR3C1,NRIP1
NRIP1,NR3C1
NR3C1,WWP1
WWP1,NR3C1
NR3C1,IRF1
IRF1,NR3C1
NR3C1,DYNC1I1
NR3C1,TP53
TP53,NR3C1
NR3C1,PPARGC1B
PPARGC1B,NR3C1
NR3C1,SMARCC1
SMARCC1,NR3C1
NR3C1,TWIST1
TWIST1,NR3C1
NR3C1,GTF3C4
GTF3C4,NR3C1
NR3C1,SMARCD1
SMARCD1,NR3C1
NR3C1,PRKACB
NR3C1,MAPK10
MAPK10,NR3C1
NR3C1,PGR
PGR,NR3C1
NR3C1,AR
AR,NR3C1
NR3C1,HIF1A
HIF1A,NR3C1
NR3C1,POLR2A
POLR2A,NR3C1
PSMD9,ODC1
EGF,ODC1
CEBPZ,UTP15
CEBPZ,POLR1B
POLR1B,CEBPZ
CEBPZ,PA2G4
PA2G4,CEBPZ
CEBPZ,POLR1A
POLR1A,CEBPZ
CEBPZ,WDR12
CEBPZ,TRUB1
CEBPZ,WDR3
CEBPZ,PDCD11
PDCD11,CEBPZ
CEBPZ,DDX54
DDX54,CEBPZ
CEBPZ,TEX10
CEBPZ,NOC3L
CEBPZ,MYBBP1A
MYBBP1A,CEBPZ
ENO1,HLA-DRB1
ELL2,SNAPC3
SNAPC3,ELL2
ELL2,POLR2G
POLR2G,ELL2
ELL2,POU2F1
POU2F1,ELL2
ELL2,AFF4
AFF4,ELL2
ELL2,MLLT3
MLLT3,ELL2
ELL2,POLR2D
POLR2D,ELL2
ELL2,POLR2H
POLR2H,ELL2
ELL2,AFF1
AFF1,ELL2
ELL2,POLR2F
POLR2F,ELL2
ELL2,POLR2K
POLR2K,ELL2
ELL2,POU2F2
POU2F2,ELL2
ELL2,SNAPC4
SNAPC4,ELL2
ELL2,POLR2A
POLR2A,ELL2
GSC,TFDP1
TFDP1,GSC
GSC,E2F3
E2F3,GSC
HOXB7,MEIS1
MEIS1,HOXB7
HOXB7,HOXB6
HOXB6,HOXB7
HOXB7,HOXB3
HOXB3,HOXB7
HOXB7,PBX1
PBX1,HOXB7
HOXB7,HOXB4
HOXB4,HOXB7
HOXB7,MEIS2
MEIS2,HOXB7
EGR1,JUND
JUND,EGR1
EGR1,STAT2
STAT2,EGR1
EGR1,OAS1
EGR1,SNAI1
SNAI1,EGR1
EGR1,IRF1
IRF1,EGR1
EGR1,RBBP4
RBBP4,EGR1
EGR1,CTNNB1
CTNNB1,EGR1
EGR1,BTG2
BTG2,EGR1
EGR1,TP53
TP53,EGR1
EGR1,MECOM
MECOM,EGR1
EGR1,EGF
EGF,EGR1
EGR1,NFATC1
NFATC1,EGR1
EGR1,GATAD2A
GATAD2A,EGR1
