Gene1	Gene2	EdgeWeight
CTNNB1	ALYREF	0.017301123589277267
CTNNB1	SKIL	0.0172123983502388
CTNNB1	SOX4	0.01713117957115173
CTNNB1	NONO	0.01710236445069313
CTNNB1	TP53	0.016754446551203728
CTNNB1	ZIC2	0.01674252562224865
CTNNB1	ABCA1	0.016740458086133003
CTNNB1	SFRP1	0.01664358377456665
CTNNB1	RBBP4	0.016460970044136047
CTNNB1	PIP4K2A	0.016413576900959015
CTNNB1	CTBP1	0.016304854303598404
CTNNB1	STC1	0.016222918406128883
CTNNB1	FZD5	0.016211023554205894
CTNNB1	STAT2	0.016068987548351288
CTNNB1	PSIP1	0.01600830443203449
CTNNB1	IGDCC4	0.016007544472813606
CTNNB1	PDGFA	0.016005853191018105
CTNNB1	DNMT3A	0.015983261168003082
CTNNB1	SEMA3A	0.015823708847165108
CTNNB1	JUND	0.01572568155825138
CTNNB1	LIN28A	0.015701936557888985
CTNNB1	CLDN11	0.015700707212090492
CTNNB1	SRSF6	0.015690749511122704
CTNNB1	NANOG	0.015553594566881657
CTNNB1	AK4	0.015549983829259872
CTNNB1	APBB2	0.015521083027124403
CTNNB1	AES	0.01548388320952654
CTNNB1	ST8SIA4	0.015416092239320278
CTNNB1	HLA-DRB1	0.015410126186907291
CTNNB1	NAA15	0.015397882089018822
CTNNB1	PPP1R9A	0.015377558767795563
CTNNB1	NLGN4X	0.015354121103882791
CTNNB1	PHLDA1	0.015343587845563887
CTNNB1	TCF7L1	0.015318663790822027
CTNNB1	FAM117B	0.015306941233575344
TP53	CTNNB1	0.015288333408534529
CTNNB1	HMGN2	0.015287511050701141
CTNNB1	ZNF516	0.015273486264050009
CTNNB1	CAMK2D	0.0152673264965415
CTNNB1	DPYSL3	0.015251990407705309
TP53	SOX4	0.015248240903019903
CTNNB1	LRAT	0.015228098258376122
CTNNB1	RBMX	0.015217973850667475
CTNNB1	FEZ1	0.015205268748104572
CTNNB1	SRSF3	0.01516618952155113
CTNNB1	AGL	0.015164779499173163
CTNNB1	PAM	0.015154249034821987
CTNNB1	PTMA	0.015148493461310862
CTNNB1	H1F0	0.015145018696784971
CTNNB1	CCND1	0.015088628977537157
CTNNB1	FUBP1	0.015053752809762956
CTNNB1	POLR2A	0.015049073845148088
CTNNB1	STK17B	0.015029491856694218
CTNNB1	PRDM1	0.015002404339611532
CTNNB1	JMJD1C	0.014975659549236298
CTNNB1	GYPE	0.014963808469474316
CTNNB1	CBX3	0.014954985119402409
CTNNB1	MDM4	0.014950631186366081
CTNNB1	DUSP4	0.014934041537344456
TRIM28	KHSRP	0.01492757722735405
CTNNB1	PDCD4	0.014926076866686344
CTNNB1	SMAD2	0.014925387687981129
CTNNB1	ZNF587	0.014912662096321585
POU5F1	SEMA6A	0.014895962551236153
CTNNB1	SLC39A11	0.014875245280563831
CTNNB1	KHSRP	0.01487033162266016
CTNNB1	SALL2	0.01486879959702492
TRIM28	ARID3A	0.014866062439978124
CTNNB1	CNBP	0.014845399186015127
CTNNB1	COL4A1	0.01482249330729246
CTNNB1	TRIM28	0.014822456054389475
CTNNB1	PRDM14	0.014822375029325485
CTNNB1	DDAH1	0.014818073250353338
CTNNB1	FOXN3	0.014814415015280247
CTNNB1	NPM1	0.014812923967838287
CTNNB1	NT5DC3	0.014799278229475018
CTNNB1	HNRNPK	0.014795361086726187
CTNNB1	LIMD1	0.014787003397941591
CTNNB1	EWSR1	0.01477306894958019
CTNNB1	CCKBR	0.014764294028282166
CTNNB1	ARID3B	0.014756325632333755
CTNNB1	SYNC	0.0147507656365633
CTNNB1	ATRX	0.014735096134245397
CTNNB1	GLMN	0.014734787866473196
NANOG	POU5F1	0.014732704497873785
CTNNB1	KLHL28	0.01472921296954155
EOMES	MSX1	0.014722083695232868
CTNNB1	POLR2D	0.014702076092362404
CTNNB1	PRPS2	0.01469333004206419
CTNNB1	BMPR1A	0.014679216779768469
CTNNB1	PPM1H	0.014674007892608644
CTNNB1	SEMA6A	0.014667375944554806
CTNNB1	POU2F1	0.014663063921034338
TP53	SKIL	0.014662276953458788
TP53	DNMT3A	0.014660595916211603
CTNNB1	CITED2	0.0146377831697464
CTNNB1	PTGR1	0.014632810838520529
CTNNB1	HIF1A	0.014609954319894312
CTNNB1	TRDN	0.014609565027058125
CTNNB1	GATM	0.014597649686038494
CTNNB1	ALCAM	0.014589869417250156
CTNNB1	EPCAM	0.014589400961995125
TP53	CTBP1	0.014577153138816357
CTNNB1	TFAP4	0.01456871535629034
CTNNB1	VPS13C	0.014561696909368038
CTNNB1	ACTC1	0.014534390531480312
CTNNB1	GABRB3	0.014534207060933113
CTNNB1	TMEM47	0.014528049156069756
CTNNB1	CPE	0.014517965726554394
NANOG	SEMA6A	0.014500378631055357
TRIM28	SF1	0.014487827196717262
CTNNB1	NFAT5	0.014479586854577063
CTNNB1	TRIM33	0.01446438580751419
CTNNB1	GPC3	0.01446251943707466
CTNNB1	ZNF280B	0.014454571530222891
CTNNB1	SLC35F1	0.01445233356207609
TRIM28	HMGA1	0.014431431889533997
CTNNB1	PBXIP1	0.014424515888094904
CTNNB1	CUX1	0.014417335391044615
TP53	ALYREF	0.014403140172362328
CTNNB1	ZFP42	0.014378944411873816
TRIM28	HCFC1	0.014374393969774246
POU5F1	SFRP2	0.014363655820488931
CTNNB1	NFYB	0.014357404783368109
CTNNB1	RNPS1	0.014355510473251345
CTNNB1	STK38L	0.014353268779814243
CTNNB1	AFF4	0.014353204518556597
CTNNB1	ZNF521	0.014335662126541138
CTNNB1	MIF	0.014331666752696037
CTNNB1	PFKFB2	0.014312952756881712
CTNNB1	ETV1	0.014301147311925888
CTNNB1	MED16	0.014300444163382053
CTNNB1	SLITRK2	0.014298059046268463
CTNNB1	IL6ST	0.014294038526713846
CTNNB1	PHC1	0.014292239211499691
CTNNB1	PBX1	0.014283927157521246
CTNNB1	E2F3	0.014271991327404974
CTNNB1	NUSAP1	0.01426644530147314
CTNNB1	STT3B	0.014260780997574331
CTNNB1	MATN3	0.014248115010559559
CTNNB1	CBFA2T2	0.01423380896449089
POU5F1	NANOG	0.014220669865608215
TRIM28	U2AF1	0.0142096895724535
CTNNB1	PTPRZ1	0.014203964732587337
CTNNB1	ZDHHC21	0.014198039658367634
CTNNB1	BCLAF1	0.01419395301491022
CTNNB1	S1PR3	0.014191028662025928
CTNNB1	ZNF585B	0.014187254942953588
CTNNB1	RHOBTB3	0.01418333314359188
CTNNB1	HCFC1	0.014180005528032781
CTNNB1	OTUD6B	0.014171994291245937
CTNNB1	SKA3	0.014166699722409247
CTNNB1	RBM14	0.014164448715746403
CTNNB1	RBPJ	0.014146787114441397
TRIM28	ARID3B	0.014140520244836809
CTNNB1	SH3BGRL2	0.014133901335299015
TP53	PDGFA	0.014127388596534727
CTNNB1	STAT3	0.014112699776887894
